"CONTINENT","LOCATION","DATE_","POPULATION","NEW_VACCINATIONS","ROLLING_PPL_VACC","PERCENT_VACCINATED"
"Asia","Afghanistan",06-MAR-21,38928341,"",,
"Asia","Afghanistan",07-MAR-21,38928341,"",,
"Asia","Afghanistan",08-MAR-21,38928341,"",,
"Asia","Afghanistan",09-MAR-21,38928341,"",,
"Asia","Afghanistan",10-MAR-21,38928341,"",,
"Asia","Afghanistan",11-MAR-21,38928341,"",,
"Asia","Afghanistan",12-MAR-21,38928341,"",,
"Asia","Afghanistan",13-MAR-21,38928341,"",,
"Asia","Afghanistan",14-MAR-21,38928341,"",,
"Asia","Afghanistan",15-MAR-21,38928341,"",,
"Asia","Afghanistan",16-MAR-21,38928341,"",,
"Asia","Afghanistan",17-MAR-21,38928341,"",,
"Asia","Afghanistan",18-MAR-21,38928341,"",,
"Asia","Afghanistan",19-MAR-21,38928341,"",,
"Asia","Afghanistan",20-MAR-21,38928341,"",,
"Asia","Afghanistan",21-MAR-21,38928341,"",,
"Asia","Afghanistan",22-MAR-21,38928341,"",,
"Asia","Afghanistan",23-MAR-21,38928341,"",,
"Asia","Afghanistan",24-MAR-21,38928341,"",,
"Asia","Afghanistan",25-MAR-21,38928341,"",,
"Asia","Afghanistan",26-MAR-21,38928341,"",,
"Asia","Afghanistan",27-MAR-21,38928341,"",,
"Asia","Afghanistan",28-MAR-21,38928341,"",,
"Asia","Afghanistan",29-MAR-21,38928341,"",,
"Asia","Afghanistan",30-MAR-21,38928341,"",,
"Asia","Afghanistan",31-MAR-21,38928341,"",,
"Asia","Afghanistan",01-APR-21,38928341,"",,
"Asia","Afghanistan",02-APR-21,38928341,"",,
"Asia","Afghanistan",03-APR-21,38928341,"",,
"Asia","Afghanistan",04-APR-21,38928341,"",,
"Asia","Afghanistan",05-APR-21,38928341,"",,
"Asia","Afghanistan",06-APR-21,38928341,"",,
"Asia","Afghanistan",07-APR-21,38928341,"",,
"Asia","Afghanistan",08-APR-21,38928341,"",,
"Asia","Afghanistan",09-APR-21,38928341,"",,
"Asia","Afghanistan",10-APR-21,38928341,"",,
"Asia","Afghanistan",11-APR-21,38928341,"",,
"Asia","Afghanistan",12-APR-21,38928341,"",,
"Asia","Afghanistan",13-APR-21,38928341,"",,
"Asia","Afghanistan",14-APR-21,38928341,"",,
"Asia","Afghanistan",15-APR-21,38928341,"",,
"Asia","Afghanistan",16-APR-21,38928341,"",,
"Asia","Afghanistan",17-APR-21,38928341,"",,
"Asia","Afghanistan",18-APR-21,38928341,"",,
"Asia","Afghanistan",19-APR-21,38928341,"",,
"Asia","Afghanistan",20-APR-21,38928341,"",,
"Asia","Afghanistan",21-APR-21,38928341,"",,
